Sorszám;Megnevezés;Fehérje(g);Zsír(g);Szénhidrát(g);Kalória(kcal)
62;Sóska (fagyasztott);1.5;0.2;0.4;10.0
17;Cukkini (fagyasztott);1.3;0.1;1.4;12.0
70;Uborka;1.0;0.1;1.7;12.0
31;Kovászos uborka;0.7;0.2;1.9;13.0
74;Vegyes savanyúság;0.8;0.1;2.4;14.0
56;Retek;1.2;0.1;2.2;15.0
15;Csiperkegomba (szeletelt, fagyasztott);2.3;0.1;1.4;16.0
69;Tök (gyalult, fagyasztott);0.8;0.1;2.9;16.0
83;Zöldsaláta;1.4;0.3;2.0;16.0
19;Fejes saláta;1.4;0.3;2.0;17.0
63;Spárga;2.0;0.1;1.8;17.0
40;Paprika;1.2;0.3;3.0;19.5
23;Káposzta (savanyított);1.1;0.2;3.4;20.0
51;Paraj (spenót);2.3;0.3;1.8;20.0
46;Paradicsom;1.0;0.2;4.0;22.0
47;Paradicsom (fagyasztott);1.1;0.3;3.7;23.0
5;Brokkoli;3.3;0.2;2.1;23.4
44;Paprika (zöld, fagyasztott);1.4;0.1;4.2;24.0
61;Sóska;2.4;0.5;2.3;24.0
79;Zöldbab (konzerv);1.6;0.2;4.3;26.0
26;Karalábé (fagyasztott);1.7;0.2;4.6;27.0
39;Padlizsán;1.3;0.2;4.8;27.0
43;Paprika (sárga, fagyasztott);1.4;0.1;4.7;27.0
77;Zellergumó;1.4;0.3;5.0;28.0
6;Brokkoli (fagyasztott);4.0;0.4;2.0;29.0
27;Karfiol;2.4;0.4;3.9;29.0
52;Petrezselyem gyökér;1.2;0.1;5.9;29.0
16;Cukkini;1.5;0.4;5.3;30.0
42;Paprika (piros, fagyasztott);1.4;0.2;5.4;30.0
11;Cékla;1.3;0.1;5.9;31.0
12;Ceruzabab (fagyasztott);2.5;0.1;4.8;31.0
22;Káposzta;1.6;0.2;5.7;31.0
68;Tök;1.1;0.1;6.1;31.0
24;Káposzta (vörös);1.7;0.2;5.7;32.0
29;Kelkáposzta;3.6;0.3;4.3;34.0
35;Laskagomba (fagyasztott);1.7;0.6;5.8;37.0
54;Póréhagyma;2.2;0.3;5.9;37.0
60;Snidling;2.2;0.3;6.3;37.0
71;Újhagyma;2.2;0.3;6.3;37.0
76;Vöröshagyma (fagyasztott);1.4;0.1;7.4;37.0
55;Póréhagyma (fagyasztott);2.2;0.3;6.3;38.0
72;Vargánya;6.4;0.8;1.3;38.0
14;Csiperkegomba;5.9;0.2;3.3;38.6
21;Gyöngyhagyma;1.2;0.1;8.3;39.0
25;Karalábé;2.1;0.2;6.9;39.0
34;Laskagomba;1.9;0.7;6.0;39.0
37;Lilahagyma;1.2;0.1;8.3;39.0
58;Sárgarépa;1.2;0.2;8.1;39.0
75;Vöröshagyma;1.2;0.1;8.3;39.0
78;Zöldbab;2.6;0.3;6.8;40.3
18;Cukorborsó (fagyasztott);3.6;0.1;6.2;41.0
28;Kelbimbó;4.9;0.6;6.1;51.0
59;Sárgarépa (fagyasztott);1.7;0.2;10.4;52.0
41;Paprika (csípős, fagyasztott);2.1;0.7;9.3;54.0
45;Paprika, pritamin;3.4;0.8;8.6;57.0
13;Csemegeuborka;0.6;0.1;2.6;59.0
53;Petrezselyem zöldje;4.4;0.4;9.8;62.0
30;Kínai kel;1.2;0.3;2.0;67.0
9;Burgonyakocka (fagyasztott);1.9;0.1;14.7;69.0
82;Zöldborsó (zsenge, fagyasztott);5.7;0.4;12.0;77.0
64;Sütőtök;1.5;0.6;16.5;80.0
80;Zöldborsó;7.0;0.4;14.0;87.6
7;Burgonya, nyári;2.5;0.2;18.4;88.0
8;Burgonya, téli;2.5;0.2;20.0;92.0
81;Zöldborsó (fagyasztott);6.5;0.4;15.0;92.0
50;Paraj (spenót, fagyasztott);2.6;0.2;2.5;97.0
33;Kukorica (morzsolt, fagyasztott);6.7;0.4;17.1;102.0
49;Paradicsompüré;5.0;1.0;20.0;109.0
48;Paradicsom, sűrített;5.0;1.0;20.0;111.0
32;Kukorica;4.7;1.6;23.6;131.0
20;Fokhagyma;6.8;0.1;26.3;137.0
4;Babkonzerv;11.0;0.5;27.0;156.5
0;Avokádó;2.0;15.0;9.0;160.0
1;Bab (fagyasztott, előfőzött);9.8;0.5;28.0;160.0
2;Bab (fagyasztott);10.8;0.4;29.0;167.0
38;Olívabogyó;0.2;21.9;6.5;224.0
73;Vargánya (szárított);38.3;1.8;31.5;303.0
57;Sárgaborsó;21.7;1.5;53.1;321.0
67;Szójaliszt, (extrahált, zsírtalanított);47.3;0.6;33.4;336.0
3;Bab (száraz);22.3;1.0;57.9;338.0
36;Lencse;26.0;1.0;60.0;353.0
10;Burgonyapüré por;8.4;0.7;80.0;369.0
66;Szója (granulátum, kocka);45.0;20.6;18.3;451.0
65;Szója (extrudált, teljes őrlemény);41.6;23.5;22.1;480.0
